main_id,name,U,B,V,R,I,G,J,ra,dec,sp_type,sp_qual,otype
"* alf Cet","Menkar",6.1,4.17,2.53,1.18,0.02,,-0.62,45.56988780332224,4.089738771805157,"M1.5IIIa",B,"LP?"
"* alf Cet","Menkar",6.1,4.17,2.53,1.18,0.02,,-0.62,45.56988780332224,4.089738771805157,"M1.5IIIa",B,"LP?"
"* eps Car","Avior",3.32,3.13,1.86,,,,-0.787,125.62848024272952,-59.509484191917416,"K3:III+B2:V",C,"**"
"* alf Cru","Acrux",,,,,,,1.34,186.64956340120452,-63.099092857925115,"B0.5IV+B1V",C,"SB*"
"* tet Cen","Menkent",3.94,3.04,2.05,1.29,0.76,,0.334,211.670614682339,-36.369954742511496,"K0-IIIb",C,"PM*"
"* alf Phe","Ankaa",,3.47,2.38,,,2.08998,0.579,6.5710475153919266,-42.305987194396046,"K0.5IIIb",C,"SB*"
"* bet Cru","Mimosa",0.03,1.02,1.25,1.38,1.64,,1.8,191.9302865619529,-59.68877199622606,"B1IV",C,"bC*"
"* bet Cet","Diphda",3.9,3.02,2.01,1.29,0.78,,0.39,10.897378736003901,-17.98660631592891,"G9.5IIICH-1",B,"PM*"
"* tet Sco","Sargas",,2.29,1.85,,,,1.074,264.3297077207907,-42.99782799333082,"F1III",C,"*"
"* alf Leo","Regulus",0.88,1.24,1.4,1.37,1.47,,1.54,152.09296243828146,11.967208776100023,"B8IVn",C,"PM*"
"* del CMa","Wezen",3.06,2.52,1.84,1.33,1.0,,0.77,107.09785021416667,-26.39319957888889,"F8Ia",C,"s*y"
"* mu. Gem","Tejat",6.37,4.51,2.87,1.3,-0.08,1.88137,-0.78,95.74011192619564,22.513582745904277,"M3IIIab",B,"LP*"
"* alf Per","Mirfak",2.64,2.27,1.79,,,,0.83,51.08070871833333,49.86117929305556,"F5Ib",B,"V*"
"* del Sgr","Kaus Media",,4.069,2.668,,,2.1481,0.505,275.24851476000003,-29.828101644166665,"K2.5IIIaCN0.5",B,"*"
"* alf02 Cru",,,1.41,1.58,,,,,186.65184166666666,-63.09952222222222,"B1V",E,"*"
"* alf UMi","Lodestar;North Star;Polaris",3.0,2.62,2.02,1.53,1.22,,0.795,37.954560670189856,89.26410896994187,"F8Ib",C,"cC*"
"* eta Sgr",,6.37,4.67,3.11,1.55,0.23,1.9249,-0.86,274.4068127158333,-36.76168520083333,"M2III",C,"LP?"
"* eta Sgr",,6.37,4.67,3.11,1.55,0.23,1.9249,-0.86,274.4068127158333,-36.76168520083333,"M2III",C,"LP?"
"* zet Ara",,,4.701,3.076,,,2.373,0.409,254.65505070374996,-55.99014452833334,"K3III",C,"*"
"* alf Cas","Schedar",4.52,3.4,2.23,1.45,0.85,1.94252,0.42,10.126837782916667,56.53733115833333,"K0-IIIa",C,"PM*"
"* eps Peg","Enif",5.61,3.91,2.39,1.34,0.58,1.7076,0.07,326.04648391416663,9.875008653333333,"K2Ib-II",B,"LP*"
"* eps CMa","Adhara",0.36,1.29,1.5,1.59,1.8,,1.97,104.65645315148348,-28.972086157360806,"B1.5II",C,"*"
"* eps Sco","Larawag",4.61,3.45,2.29,1.43,0.83,1.99104,0.383,252.54087838625,-34.29323159305555,"K1III",C,"PM*"
"* pi. Pup",,5.57,4.32,2.7,1.46,0.55,1.9705,-0.09,109.28565325467379,-37.09747115430162,"K4III",C,"LP*"
"* rho Per","Gorgonea Tertia",6.83,5.04,3.39,1.59,-0.03,2.11163,-0.76,46.29414106098047,38.84027619029382,"M4+IIIa",B,"LP*"
"V* R Dor",,7.84,6.98,5.4,2.71,-0.44,1.95878,-2.652,69.18996363611527,-62.077165937032035,"M8III:e",C,"AB*"
"[CW2007] YSCC",,,,,,,,,163.65791666666667,56.98888888888889,,,"Cl*"
"* bet Car","Miaplacidus",1.72,1.69,1.69,1.63,1.61,,1.55,138.29990608310192,-69.71720759721548,"A1III-",C,"PM*"
"* lam Sco","Shaula",0.52,1.49,1.63,,,,2.013,263.40216718438023,-37.10382355111976,"B2IV+DA7.9",C,"bC*"
"* del Oph","Yed Prior",6.3,4.34,2.75,1.46,0.43,2.01642,-0.24,243.5864105303868,-3.6943225643644135,"M0.5III",B,"PM*"
"* N Vel",,,4.691,3.139,,,2.4185,0.469,142.80549547374997,-57.03437716111111,"K5III",B,"V*"
"V* UV Cyg",,,,,,,,2.438,292.80533333333335,43.63711111111111,"M8",D,"LP*"
"* alf Gem","Castor;Castor AB",1.64,1.62,1.58,1.51,1.52,,1.53,113.64947163976585,31.88828221646326,"A1V+A2Vm",E,"**"
"* bet Tau","Elnath",1.03,1.52,1.65,1.66,1.76,,1.95,81.57297133176498,28.607451724998228,"B7III",C,"PM*"
"* eps Ori","Alnilam",0.48,1.51,1.69,1.76,1.93,,2.07,84.05338894077023,-1.2019191358333312,"B0Ia",C,"s*b"
"M  22",,,,,,,,,279.09975000000003,-23.90475,,,"GlC"
"* gam Del",,,,,,,,2.059,311.664127,16.124346,,,"**"
"* gam Ori","Bellatrix",0.54,1.42,1.64,1.73,1.95,,2.17,81.28276355652378,6.3497032644440665,"B2V",C,"V*"
"* eps UMa","Alioth",1.76,1.75,1.77,1.79,1.82,1.73161,1.72,193.5072899675,55.95982295694445,"A1III-IVpkB9",C,"a2*"
"* gam02 Vel","Regor",0.64,1.58,1.83,1.85,2.0,,2.11,122.38312555977059,-47.336586329303486,"WC8+O7.5III-V",C,"WR*"
"* alf Gru","Alnair",1.11,1.58,1.71,1.75,1.83,1.77328,2.01,332.05826969609114,-46.96097438191952,"B6V",C,"PM*"
"* eps Sgr","Kaus Australis",,1.82,1.81,,,,1.733,276.0429933505963,-34.38461648586744,"B9IVp_lB?",C,"PM*"
"* sig Lib","Brachium",6.86,4.91,3.21,1.6,0.33,2.1342,-0.31,226.01756698541666,-25.28196128777778,"M2.5III",B,"LP*"
"* gam Phe",,,4.98,3.41,,,2.5641,0.611,22.091363612083335,-43.31823615916667,"M0III",B,"SB*"
"*  13 Lyr",,7.0,5.59,4.0,1.95,0.04,2.3839,-0.9,283.8337592854167,43.94609208027778,"M4.5III",C,"LP*"
"* eta Gem","Propus",6.55,4.89,3.28,1.79,0.48,2.26204,-0.33,93.71935536055373,22.506787327170834,"M2IIIa",C,"RG*"
"* eps Cyg","Aljanah",4.37,3.52,2.48,1.73,1.19,2.0227,0.73,311.5528431704166,33.97025692388889,"K0III",B,"**"
"* gam Cyg","SADR",3.44,2.9,2.23,1.74,1.4,2.11372,1.11,305.55709098208337,40.25667915638889,"F8Ib",C,"V*"
"* chi Cyg",,7.02,6.06,4.24,1.81,-0.01,,-0.4,297.6413389293104,32.91404875869277,"S6-9/1-2e",B,"S*"
"* del Vel",,,2.0,1.95,,,,1.777,131.17594410269234,-54.70881924765521,"A2IV+A4V+F8V",C,"EB*"
"* iot Aur","Hassaleh",6.0,4.22,2.69,1.63,0.81,2.19754,0.24,74.24841676022209,33.166093772077225,"K3II-III",B,"V*"
"* zet Ori A",,,1.79,1.9,,,,,85.18969642916667,-1.9425723222222224,"O9.2IbvarNwk",C,"SB*"
"* bet Aur","Menkalinan",1.97,1.93,1.9,1.82,1.83,1.7141,1.85,89.88217886833333,44.94743257194444,"A1IV-Vp",C,"EB*"
"* gam Aql","Tarazed",5.93,4.23,2.72,1.65,0.87,2.0404,0.29,296.5649178783333,10.613261329999998,"K3II",B,"*"
"* zet Ori","Alnitak",0.5,1.56,1.77,1.85,2.05,,2.25,85.18969442793068,-1.9425735859722049,"O9.7Ib+B0III",C,"**"
"* gam Eri","Zaurak",6.52,4.54,2.94,1.68,0.68,2.1506,0.07,59.50736228708333,-13.508519380555555,"M0III-IIIb",B,"LP?"
"* gam Eri","Zaurak",6.52,4.54,2.94,1.68,0.68,2.1506,0.07,59.50736228708333,-13.508519380555555,"M0III-IIIb",B,"LP?"
"* gam Gem","Alhena",1.98,1.92,1.92,1.86,1.87,,1.89,99.42796042942895,16.399280426663772,"A1.5IV+",C,"SB*"
"* tau Pup","Altaleban;Taleban",,4.13,2.93,,,2.4578,1.073,102.48403524791667,-50.61456768777778,"K1III",C,"SB*"
"* alf Gem A","Castor A",,,1.9,,,,,113.64942845,31.88827619166667,"A1.5IV+",C,"SB*"
"* zet01 UMa","Mizar A",2.11,2.271,2.22,2.1,2.12,2.28265,1.32,200.98142616882203,54.925359883302775,"A1.5Vas",C,"SB*"
"* del Vir","Minelauva",6.76,4.97,3.38,1.86,0.53,2.40378,-0.21,193.90086919083333,3.3974703402777777,"M3+III",B,"RG*"
"* mu. UMa","Tania Australis",6.53,4.64,3.05,1.76,0.8,2.1959,0.1,155.58224902458335,41.49951919583333,"M0III",B,"SB*"
"* eta UMa","Alcaid;Alkaid",0.99,1.67,1.86,1.98,2.16,1.88102,2.24,206.88515734206297,49.31326672942533,"B3V",B,"PM*"
"* alf Oph","Rasalhague",2.32,2.22,2.07,1.93,1.85,2.10829,1.833,263.73362272030505,12.560037391671425,"A5IVnn",C,"**"
"* alf Pav","Peacock",1.03,1.791,1.918,,,,2.304,306.4119043651986,-56.73508972631689,"B2IV",E,"SB*"
"* bet Cas","Caph",2.73,2.61,2.27,1.97,1.77,2.23269,1.63,2.2945215777878776,59.14978109800713,"F2III",C,"dS*"
"* phi01 Lup",,,5.076,3.546,,,2.8041,0.825,230.45154027458335,-36.261375685833336,"K4III",B,"PM*"
"* alf Tuc",,5.75,4.18,2.82,1.76,1.02,2.2214,0.55,334.6253949308333,-60.25959064083334,"K3III",B,"SB*"
"* alf Ser","Unukalhai",5.08,3.8,2.63,1.82,1.25,2.32535,0.831,236.06697631625,6.425628686666666,"K2IIIbCN1",B,"PM*"
"* q Car",,,4.899,3.35,,,2.7232,0.906,154.2707304375,-61.33230230583334,"K2.5II",C,"LP*"
"* iot Car","Aspidiske",2.6,2.44,2.26,2.02,1.82,2.21379,1.71,139.27252857166667,-59.275232029166666,"A7Ib",C,"V*"
"* g Cen",,7.15,5.69,4.19,2.06,0.19,2.4841,-0.49,207.36134062874999,-34.45077580777778,"M5-III:",C,"LP*"
"* bet Per","Algol;Algol A;Algol B;Algol C",1.7,2.07,2.12,2.08,2.11,,2.16,47.04221855625,40.95564667027778,"B8V",C,"EB*"
"* sig Sgr","Nunki",1.06,1.923,2.067,,,,2.334,283.81636040649323,-26.29672411476388,"B2V",B,"**"
"* gam Cas",,1.18,2.29,2.39,2.32,2.4,2.06458,2.039,14.17721289375,60.71674002472222,"B0.5IVpe",C,"Be*"
"* bet Leo","Denebola",2.3,2.22,2.13,2.08,2.06,,1.85,177.26490975591017,14.572058064829658,"A3Va",C,"dS*"
"* gam Hyi",,6.87,4.88,3.26,1.92,0.82,2.3219,0.17,56.80975258791666,-74.23896350222223,"M1III",C,"PM*"
"* mu. Vel",,4.16,3.59,2.69,2.01,1.52,2.3524,1.16,161.6924115354181,-49.420256789972576,"G6III",C,"**"
"* bet CMa","Mirzam",0.77,1.73,1.97,2.11,2.35,,2.53,95.67493896958332,-17.955918708888888,"B1II-III",C,"bC*"
"* alf And","Alpheratz;Sirrah",1.48,1.95,2.06,2.09,2.19,,2.3,2.0969161856756404,29.090431118059698,"B8IV-VHgMn",C,"a2*"
"LEDA   12680",,,,,2.1,,,,50.857083333333335,-19.28611111111111,,,"G"
"* bet Crv","Kraz",4.17,3.52,2.64,2.03,1.59,2.2513,1.23,188.59681183041667,-23.396760403611108,"G5IIBa0.3",C,"PM*"
"* bet Oph","Cebalrai",5.15,3.93,2.75,1.96,1.38,2.2781,0.886,265.86813603416664,4.567304301111111,"K2IIICN0.5",B,"PM*"
"* eps Oct",,,6.433,5.177,,,3.2248,-0.081,335.0069987354167,-80.43974853611113,"M5III",C,"LP*"
"* kap Ori","Saiph",0.87,1.88,2.06,2.09,2.27,2.07783,2.47,86.93912016833333,-9.66960491861111,"B0.5Ia",C,"s*b"
"* alf Lyn",,6.63,4.69,3.14,1.91,1.01,2.48865,0.32,140.26375087702914,34.39255928934889,"K6III",B,"PM*"
"* eps Mus",,7.27,5.6,4.02,2.12,0.36,2.5536,-0.21,184.39282150291666,-67.96073573055556,"M4III",C,"LP*"
"*  36 Oph","Guniibuu",,,,,,,2.52,258.8374330733334,-26.602821420833333,"K2V+K1V",C,"**"
"* lam Sgr","Kaus Borealis",4.75,3.85,2.81,2.06,1.5,2.54351,1.084,276.99266966041665,-25.421698496944444,"K1IIIb",C,"PM*"
"* eta Dra","Athebyne",4.35,3.65,2.74,2.12,1.66,2.49442,1.17,245.99785970199997,61.51420976085001,"G8-IIIab",B,"PM*"
"* tau04 Eri",,7.13,5.32,3.7,2.12,0.66,2.453,-0.03,49.87917598874999,-21.757862486944447,"M3III-IIIaCa-1",C,"LP*"
"* gam Cen",,2.15,2.16,2.17,2.14,2.14,,2.13,190.37933367081536,-48.959871515023295,"A1IV+A0IV",C,"**"
"* tet Eri","Acamar",,,,,,,2.245,44.56531355666667,-40.30468122722222,"A2V",C,"**"
"* gam01 Leo",,4.13,3.13,1.98,1.13,0.51,,,154.9931435916667,19.841488666666663,"K1-IIIFe-1",C,"PM*"
"* eta Ara",,,5.306,3.744,,,2.9644,0.992,252.44648553125003,-59.04137708305555,"K5III",C,"*"
"* bet Her","Kornephoros",4.39,3.7,2.77,2.13,1.65,2.54764,1.21,247.55499811083337,21.48961132722222,"G7IIIaFe-0.5",B,"SB*"
"V* R Hor",,,,3.92,4.99,1.51,6.11725,0.45,43.46987542233,-49.889647366729996,"M5-7e",B,"Mi*"
"* bet Dra","Rastaban",4.43,3.79,2.81,2.12,1.64,2.3791,1.24,262.60817373291667,52.30138870861111,"G2Ib-IIa",B,"*"
"* g Her",,7.7,6.53,5.01,2.49,0.26,2.6497,-0.81,247.1606191045833,41.8816779425,"M6-III",B,"AB*"
"* sig Pup","Hadir",6.54,4.77,3.25,2.04,1.12,2.4858,0.56,112.30762704874999,-43.30143323944444,"K5III",C,"SB*"
"* alf CrB","Alphecca",2.19,2.22,2.24,2.21,2.25,,2.25,233.6719500152086,26.714692780601993,"A1IV",C,"EB*"
"* bet Ara",,5.87,4.31,2.85,,,2.39128,0.58,261.3249491888263,-55.529881687777774,"K0/1Ib",D,"*"
"* ups Lib",,,4.979,3.589,,,3.0241,1.143,234.25604249833333,-28.13508129111111,"K3.5III",B,"**"
"* eps Vir","Vindemiatrix",4.45,3.71,2.79,2.16,1.71,2.455,1.312,195.54415770666668,10.959150400833332,"G8III-IIIb",B,"PM*"
"V* W Hya",,,8.97,7.7,,,4.09207,-1.59,207.258340963805,-28.3676477796928,"M7.5-9e",B,"Mi*"
"* bet Lep","Nihal",4.13,3.66,2.84,2.19,1.75,2.5015,1.41,82.061346495,-20.759441053055554,"G5II-IIIa:",C,"**"
"* mu. Cep","Erakis;Herschel's Garnet Star",8.85,6.43,4.08,1.98,0.22,2.3269,-0.52,325.87692107249995,58.780044494722226,"M2-Ia",B,"s*r"
"* eps Cru","Ginan",,5.01,3.59,,,2.9726,1.226,185.34003901041666,-60.401146963888884,"K3III",C,"PM*"
"* zet Her",,3.64,3.43,2.8,2.31,1.99,,1.5,250.32150433146228,31.602718703799262,"G0IV",B,"SB*"
"* eps Crv","Minkar",5.79,4.32,2.98,2.05,1.41,2.6297,0.92,182.53116909374998,-22.6197672175,"K2+IIIa",C,"PM*"
"* alf Lup",,1.22,2.126,2.286,,,2.32465,2.634,220.4823157775,-47.38819874611111,"B1.5III",C,"bC*"
"* eta Boo","Muphrid",3.44,3.25,2.68,2.24,1.95,2.4467,1.67,208.67116216800866,18.397720717229475,"G0IV",B,"SB*"
"* eps Lep",,6.41,4.64,3.18,2.08,1.27,2.4846,0.71,76.36527237416666,-22.37103441472222,"K4III",C,"PM*"
"* eps Gem","Mebsuta",5.85,4.39,2.98,2.01,1.4,2.4937,0.92,100.98302607916666,25.13112541222222,"G8Ib",B,"V*"
"* psi UMa",,5.27,4.15,3.01,2.18,1.61,2.5504,1.16,167.41586948500003,44.49848668055556,"K1III",B,"PM*"
"* bet Sco","Acrab",2.0,2.43,2.5,,,,,241.35929166666665,-19.80538888888889,"B1V+B2V",C,"**"
"* zet Pup","Naos",0.89,1.98,2.25,2.36,2.58,2.25429,2.76,120.89603140977576,-40.003147798268934,"O4I(n)fp",C,"BY*"
"* del Sco","Dschubba",1.3,2.2,2.32,2.36,2.49,,2.58,240.08335534565887,-22.621706426005783,"B0.3IV",B,"SB*"
"* del Sge",,6.2,5.23,3.82,2.37,1.08,2.83682,0.37,296.84693998883,18.534313571179997,"M2II+B0V",C,"SB*"
