main_id,name,U,B,V,R,I,G,J,ra,dec,sp_type,sp_qual,otype
"* alf CMa","Dog Star;Sirius;Sirius A",-1.51,-1.46,-1.46,-1.46,-1.43,,-1.36,101.28715533333335,-16.71611586111111,"A0mA1Va",C,"SB*"
"* alf Car","Canopus",-0.49,-0.59,-0.74,-0.96,-1.13,,-1.15,95.98795782918306,-52.69566138386201,"A9II",C,"*"
"* alf Ori","Betelgeuse",4.38,2.27,0.42,-1.17,-2.45,,-3.0,88.79293899077537,7.407063995272694,"M1-M2Ia-Iab",B,"s*r"
"* alf Boo","Arcturus",2.46,1.18,-0.05,-1.03,-1.68,,-2.252,213.915300294925,19.1824091615312,"K1.5IIIFe-0.5",B,"RG*"
"* alf Cen A","Rigel Kentaurus;Rigil Kentaurus",0.96,0.72,0.01,,,,-1.454,219.90205833170774,-60.83399268831004,"G2V",C,"SB*"
"* alf Sco","Antares",4.08,2.75,0.91,-0.64,-1.87,,-2.73,247.3519154198264,-26.432002611950832,"M1.5Iab+B2Vn",C,"s*r"
"* alf Aur","Capella",1.33,0.88,0.08,-0.52,-0.96,,-1.29,79.17232794433404,45.99799146983673,"G3III:",C,"SB*"
"* alf Her","Rasalgethi",,4.51,3.06,,,,-2.3,258.66190909203993,14.39034061013818,"M5Ib-II+G5III+F2V:",C,"**"
"* alf Tau","Aldebaran",4.32,2.4,0.86,-0.37,-1.31,,-2.095,68.9801627900154,16.5093023507718,"K5+III",B,"LP?"
"* alf Tau","Aldebaran",4.32,2.4,0.86,-0.37,-1.31,,-2.095,68.9801627900154,16.5093023507718,"K5+III",B,"LP?"
"CMa Dwarf Galaxy","CMa Dwarf Galaxy;CMa Galaxy;Canis Major Dwarf Galaxy;Canis Major Galaxy",,,-0.1,,,,,108.15,-27.666666666666668,,,"G"
"MWKZ QSO B1422+2309 GAL 90001",,,,,,0.0,,,216.20028,22.94753,,,"G"
"6dFGS gJ131853.9-210148",,,,,0.0,,,,199.72460833333332,-21.029925,,,"G"
"6dFGS gJ231822.1-422140",,,,,0.0,,,,349.59220833333336,-42.36097222222222,,,"G"
"MWKZ PMN J2004-1349 GAL 90005",,,,,,0.0,,,301.04791666666665,-13.811472222222221,,,"G"
"6dFGS gJ073634.4-693109",,,,,0.0,,,,114.14316666666666,-69.51913888888888,,,"G"
"MWKZ PMN J2004-1349 GAL 90001",,,,,,0.0,,,300.95375,-13.775416666666667,,,"G"
"6dFGS gJ033332.3-360641",,,,,0.0,,,,53.38474166666666,-36.11139166666667,,,"G"
"6dFGS gJ114805.2-264533",,,,,0.0,,,,177.02175000000003,-26.75913888888889,,,"G"
"6dFGS gJ141742.0-072502",,,,,0.0,,,,214.42416666666665,-7.4175,,,"G"
"SDSS J084621.72+003951.0",,,,,,,,,131.590541,0.664086,,,"QSO"
"6C 051007+555837",,,,,0.0,,,,78.57791507754166,56.036403936944446,,,"QSO"
"MWKZ MITG J1654+1346 GAL 90001",,,,,,0.0,,,253.73416666666662,13.768194444444442,,,"G"
"[MGL2009] BZU J1927-0510",,,,,0.0,,,,291.9333333333333,-5.169166666666667,,,"Bla"
"6dFGS gJ094532.7-311224",,,,,0.0,,,,146.386375,-31.20663888888889,,,"G"
"MWKZ MITG J0751+2716 GAL 7921",,,,,,0.0,,,117.93024,27.26844,,,"G"
"MWKZ MITG J0751+2716 GAL 90001",,,,,,0.0,,,117.9606,27.3055,,,"G"
"QSO J2102+6015",,,,,0.0,,,,315.6675799531251,60.25273238477777,,,"QSO"
"MWKZ MITG J0751+2716 GAL 8794",,,,,,0.0,,,117.908,27.27025,,,"G"
"MWKZ PMN J2004-1349 GAL 90002",,,,,,0.0,,,300.9625,-13.780694444444443,,,"G"
"6dFGS gJ013454.6-234159",,,,,0.0,,,,23.727291666666662,-23.69977777777778,,,"G"
"6dFGS gJ005503.2-374130",,,,,0.0,,,,13.763375,-37.69163888888889,,,"G"
